Trial,ReactionTime
1,0.117497583385557
2,0.886566250002943
3,0.586255666683428
4,0.364101833314635
5,0.391191124916077
6,0.907705208286643
7,0.700762249995023
8,0.543779083294794
9,0.593339208280668
10,0.428924333304167
